,State,% of WIC Participants,% of School Lunch Program Participants,% of School Breakfast Program Participants,% of Summer Food Participants,% Adults with Diabetes,% Obese Adults,State Population
0,AL,2.87817795666986,11.174373053490863,4.641763635373505,0.6275625176131836,15.489552238805974,36.12835820895522,4829479
1,AK,3.1628594828851644,7.2016616158775415,2.8454074402308045,0.696638492912204,7.1035714285714295,31.325,728929
2,AZ,2.7548913393785632,9.76308517156539,4.370365864169959,0.357575388886633,11.093333333333332,28.77333333333333,6624617
3,AR,3.034377352202667,11.238082877299645,5.623350817582131,1.4177349701537485,13.307999999999998,35.89866666666667,2958663
4,CA,3.7351595607828134,8.59413735203124,3.958087818134157,0.2991741037604522,8.774137931034485,24.131034482758626,38335203
5,CO,1.8390527911841494,7.11961398761448,2.956430087840712,0.34043947503257177,6.4828125,20.682812499999994,5267603
6,CT,1.508563813767675,7.793458459294945,2.4463550225069337,0.33845911696959097,8.475,25.5875,3596003
7,DE,2.247364638883936,10.219527877284836,4.270824890992495,0.885027474754024,11.666666666666664,30.5,925395
8,DC,2.4144863016336373,7.789853119006724,5.3719778484668765,5.357343664553696,8.1,22.4,649165
9,FL,2.469433442572989,8.36877315325251,3.8349921167487198,0.7424616313882192,12.034328358208953,29.817910447761196,19582022
10,GA,2.899607388648783,12.472466028331873,6.090553591819999,0.7166494173524162,12.686792452830188,31.39371069182389,9984938
11,HI,2.5858863361822877,8.077535352415,2.734910745328234,0.37853337513979923,8.760000000000002,21.9,1406481
12,ID,2.6855896144629283,9.937215068631666,4.675402339065925,1.3001772320412206,9.238636363636363,28.674999999999986,1612011
13,IL,2.177591452466535,8.728565267065775,3.230644345415449,0.41979097799177845,10.50588235294118,29.96666666666665,12879505
14,IN,2.428414112004959,11.891610147018573,3.9432482552409747,0.8930292146476032,12.042391304347827,32.36304347826086,6569102
15,IA,2.1305786353507354,12.425734088417267,3.06543162361373,0.4400811143848664,10.27979797979798,32.581818181818186,3091930
16,KS,2.4410428436463922,12.035034314255878,3.8527444318193207,0.8724010230843873,10.879047619047618,32.434285714285714,2892821
17,KY,2.952475379373645,12.107573792568397,6.2947039605024635,0.45879117195704006,13.2675,34.230000000000004,4400477
18,LA,3.022997136867916,12.218177322247396,5.74156763722651,0.8843157166195242,12.893749999999995,36.1765625,4626402
19,ME,1.8343571022274119,7.587150772416325,3.384757530795831,0.7940102748074601,10.19375,28.912500000000005,1329076
20,MD,2.4384564894811764,7.127580600590545,3.568898939813988,1.2447883025305975,11.062500000000002,31.0125,5931129
21,MA,1.7885168842423183,7.670380417684417,2.2585184617490404,0.6970701018341722,9.057142857142855,23.285714285714285,6706786
22,MI,2.5671932730052442,8.830180719593187,3.8540932794907596,0.7697559203562548,11.371084337349393,32.081927710843374,9898982
23,MN,2.3021964849817875,11.236774758278136,3.3568385173740216,0.8483126668697971,8.858620689655172,29.60114942528736,5418521
24,MS,3.0647902244521115,13.09400959443996,6.932160099943754,0.9000555763251542,14.657317073170734,36.80731707317072,2990482
25,MO,2.3304275183770993,10.100929864095768,4.3581763218528895,0.44695170760276304,11.478260869565215,32.0513043478261,6042711
26,MT,1.9567905007719502,8.288261820304166,2.775767661690561,0.750753711375373,9.341071428571428,27.173214285714284,1014314
27,NE,2.148768114894954,13.011095716003615,3.5618891348895056,0.5286961771076001,9.829032258064515,31.669892473118285,1868559
28,NV,2.6919780768744905,7.74533602443814,3.328160708338597,0.34868564603741514,9.088235294117645,27.182352941176468,2786464
29,NH,1.1853900431470181,7.363495672067541,1.7008559092211537,1.1082742931623277,9.88,28.17,1322687
30,NJ,1.8863911006452068,7.800453570796891,2.725852164507175,0.6686584646958893,9.504761904761905,26.604761904761897,8899162
31,NM,2.94226961245314,10.559550123178047,7.105097705584088,1.0735696887530315,9.254545454545452,25.078787878787878,2085193
32,NY,2.609082267121545,8.761755506607706,3.259087101023882,1.9979418046955033,9.630645161290325,27.52419354838709,19673546
33,NC,2.690164902216004,9.210503587326844,4.267359237684155,0.9983651015740342,12.329000000000002,31.51300000000002,9841590
34,ND,1.8332391829496186,12.02523690676626,3.2878971408208897,0.33894138137258834,10.067924528301882,31.871698113207536,724019
35,OH,2.2790190027296404,9.1956523505314,3.6548072250856567,0.5212349639438888,12.430681818181816,32.82500000000001,11570022
36,OK,3.0773423943162923,11.369283942669728,5.911979887940422,0.29371186645260183,13.025974025974026,34.453246753246745,3852415
37,OR,2.747474304916435,7.473398083576875,3.558478365031302,0.9846014176650532,10.486111111111107,28.336111111111112,3925751
38,PA,1.9814670420264295,8.34227997100147,2.6998894794895496,0.7580818221065744,11.282089552238805,31.44626865671641,12781338
39,RI,2.223672002681777,7.345733704451806,3.0892669080646096,0.7775634761683632,9.24,25.38000000000001,1053033
40,SC,2.606748388282122,10.026523240659294,5.735089748220074,1.178130218498985,14.367391304347825,35.13913043478262,4767894
41,SD,2.45923543417603,12.789950237497383,3.3735943356934612,0.7294648424428164,10.247692307692311,31.54000000000001,830746
42,TN,2.454663492650529,10.11339650469197,5.390571964954846,0.6454835321866453,13.79894736842106,32.694736842105264,6494821
43,TX,3.607649529105021,12.520410485570018,6.8699200427597,0.6812655284855341,10.396062992125987,28.702755905511818,26473525
44,UT,2.298785632365865,11.427196336605386,2.56006294909192,0.45427250769379707,8.313793103448273,25.98275862068965,2902663
45,VT,2.3656599802277003,8.217782313359058,3.6556430781005838,1.0610071116497115,8.085714285714285,25.67857142857143,627140
46,VA,1.8872178703986546,8.685038725877718,3.2975935687787947,0.6719238717841594,11.209022556390979,29.408270676691732,8262692
47,WA,2.751906355993379,7.456925266711884,2.640281882650503,0.5792905459610684,10.14102564102564,29.128205128205128,6968006
48,WV,2.503843287749881,10.469930623867182,6.312272997807613,0.6437405806399742,13.943636363636365,35.44000000000001,1853231
49,WI,1.9809488452953878,9.7898536163378,3.0134668232903015,1.537458552838014,9.706944444444458,31.470833333333346,5742854
50,WY,2.0560029106685613,9.226956635157306,2.5595348422129316,0.6034145437321087,8.900000000000002,26.73478260869566,582684
